ASIN,Seller_canada,priceTotal_canada,Condition_canada,Seller_usa,priceTotal_usa,Condition_usa,is_FBA_usa,lowestPriceFloorusa,US_ConvertedPriceTo_CAD,ProfitFactor,PF_10pctBelow,PF_15pctBelow
0130921955,UrbanInspirations,324.98,New,Amazon,138.66,New,False,138.66,184.4178,-0.57,-0.62,-0.64
1893858839,Amazon,263.02,New,💲Value_Text📚,136.99,Used - Good,False,136.99,182.1967,-0.48,-0.53,-0.56
019060865X,Amazon,98.05,New,Amazon,72.17,New,False,72.17,95.9861,-0.26,-0.34,-0.37
0134396022,TextbooksMarket,184.99,Used - Good,🕗 24HourTextBooks 🕗,160.77,Used - Good,True,160.77,213.8241,-0.13,-0.22,-0.26
0134080416,Amazon,69.34,New,Amazon,56.99,New,False,56.99,75.7967,-0.18,-0.26,-0.3
1305071751,newstainlesskid,148.97,Used - Like New,Brooklyn Book Bouncer,137.0,Used - Acceptable,True,137.0,182.21,-0.08,-0.17,-0.22
1305397487,Kennys Bookshop & Art Gallery,114.82,New,Riverside Marketing,61.22,Used - Good,True,61.22,81.4226,-0.47,-0.52,-0.55
0321909100,Amazon,204.95,New,Benjamins Bookshelf,141.06,Used - Good,True,141.06,187.6098,-0.31,-0.38,-0.41
0887073298,Amazon,74.09,New,Half-Price Hank's Books,54.97,Used - Good,True,54.97,73.1101,-0.26,-0.33,-0.37
0134045440,omnibook-ca,199.96,Used - Good,Redwood Entertainment,110.46,Used - Good,True,110.46,146.9118,-0.45,-0.5,-0.53
0962644455,Amazon,143.6,New,Amazon,95.99,New,False,95.99,127.6667,-0.33,-0.4,-0.43
1609832906,Amazon,154.76,New,FlippingPages,100.61,Used - Good,True,100.61,133.81130000000002,-0.35,-0.41,-0.45
1591264499,DotionMayo,149.99,New,Half-Price Hank's Books,106.99,Used - Very Good,True,106.99,142.2967,-0.29,-0.36,-0.39
1558291180,Amazon,111.68,New,apex_media,82.14,Used - Good,True,82.14,109.2462,-0.26,-0.34,-0.37
1938939883,Amazon,141.77,New,Amazon,82.77,Used - Very Good,True,82.77,110.0841,-0.42,-0.47,-0.5
0134074254,BLU-NEKO*CA,287.63,Used - Good,Gen-Z Books,88.99,Used - Good,True,88.99,118.3567,-0.69,-0.72,-0.74
0134073541,fakeDict,-99.0,something wrong happened,BuyLow Warehouse LLC,69.29,Used - Acceptable,True,69.29,92.1557,-1.7,-1.63,-1.59
1605353809,Amazon,141.72,New,Amazon,86.7,New,False,86.7,115.311,-0.39,-0.45,-0.48
0989690601,Amazon,77.2,New,Amazon,54.22,New,False,54.22,72.1126,-0.3,-0.37,-0.4
1721851550,Amazon,75.21,New,Amazon,58.61,New,False,58.61,77.9513,-0.22,-0.3,-0.34
1305503074,Kennys Bookshop & Art Gallery,124.18,New,textbookspro,73.99,Used - Good,True,73.99,98.4067,-0.4,-0.46,-0.49
1337109665,CanadaWide Liquidations,146.89,Used - Good,bookscheap46,100.8,Used - Very Good,True,100.8,134.064,-0.31,-0.38,-0.42
1305646525,Virtual_Books,79.85,Used - Like New,RockCityBooks,98.89,Used - Acceptable,True,98.89,131.52370000000002,0.24,0.11,0.05
032197137X,Amazon,185.13,New,Perpetual Textbooks,129.63,Used - Acceptable,True,129.63,172.4079,-0.3,-0.37,-0.4
0785220852,Amazon,121.31,New,Amazon,89.43,New,False,89.43,118.94190000000002,-0.26,-0.34,-0.37
1936221861,Distant_books,88.76,New,WilyShopper,56.66,Used - Good,True,56.66,75.3578,-0.36,-0.43,-0.46
0073534498,Amazon,233.11,New,booksr4every1,79.99,Used - Good,True,79.99,106.3867,-0.66,-0.69,-0.71
1305576519,Distant_books,72.09,New,FlippingPages,51.37,Used - Good,True,51.37,68.3221,-0.29,-0.36,-0.39
1591943094,UrbanInspirations,134.3,New,bookexhibitor,62.8,New,True,62.8,83.524,-0.53,-0.58,-0.6
1506235484,Flipping Llama,174.99,New,Zephyr Global,89.0,Used - Good,True,89.0,118.37,-0.49,-0.54,-0.57
0134685776,Second Bind,164.74,New,Savage Textbooks 📚,80.16,Used - Good,True,80.16,106.6128,-0.51,-0.56,-0.59
0134874374,fakeDict,-99.0,something wrong happened,Books for Everybody,163.9,Used - Very Good,True,163.9,217.987,-2.66,-2.49,-2.41
0801026938,Amazon,55.0,New,Amazon,52.49,New,False,52.49,69.8117,-0.05,-0.14,-0.19
1462774059,Amazon,196.77,New,LifeWay Christian Store,149.99,New,True,149.99,199.4867,-0.24,-0.31,-0.35
0310450756,BookOutlet Canada,120.88,Used - Like New,Helleborine Velvet,78.8,Used - Like New,True,78.8,104.804,-0.35,-0.41,-0.45
145221686X,Book Depository CA,65.85,New,FlippingPages,43.5,Used - Acceptable,True,43.5,57.855,-0.34,-0.41,-0.44
1433648083,Amazon,81.44,New,Lower-Christian-Prices,54.09,New,True,54.09,71.9397,-0.34,-0.4,-0.44
0914098918,omnibook-ca,249.95,Used - Very Good,Let's Ship It Now,86.54,Used - Good,True,86.54,115.09820000000002,-0.65,-0.69,-0.71
1305076516,U.R.G. Books,89.99,Used - Very Good,textbook500,84.95,Used - Good,True,84.95,112.9835,-0.06,-0.15,-0.2
0134395328,fakeDict,-99.0,something wrong happened,💲Value_Text📚,111.99,Used - Good,False,111.99,148.9467,-2.13,-2.02,-1.96
1614285918,Amazon,110.99,New,RentU,79.91,Used - Good,True,79.91,106.2803,-0.28,-0.35,-0.39
0983141169,Amazon,98.21,New,Amazon,70.19,New,False,70.19,93.3527,-0.29,-0.36,-0.39
0134302389,Kelowna Books,176.44,New,Wholesale Textbooks Direct,108.77,Used - Good,True,108.77,144.6641,-0.38,-0.45,-0.48
1506347207,Lone_Gunman,125.95,Used - Very Good,"Apollo Distribution, LLC",63.48,Used - Good,True,63.48,84.4284,-0.5,-0.55,-0.57
1591432014,Amazon,101.18,New,BuyLow Warehouse LLC,55.68,Used - Acceptable,True,55.68,74.0544,-0.45,-0.5,-0.53
1471174824,fakeDict,-99.0,something wrong happened,eclipse books,53.98,New,True,53.98,71.7934,-1.55,-1.49,-1.46
0190905387,Amazon,65.29,New,Amazon,58.91,New,False,58.91,78.3503,-0.1,-0.19,-0.23
1455738115,Amazon,125.15,New,itemspopularsonlineaindemand,74.9,New,True,74.9,99.61700000000002,-0.4,-0.46,-0.49
1450477674,CLS FBA,124.99,Used - Very Good,apex_media,49.99,Used - Acceptable,True,49.99,66.48670000000001,-0.6,-0.64,-0.66
013429601X,Canada Thrift,149.99,Used - Very Good,FranklinMedia,95.75,Used - Acceptable,True,95.75,127.3475,-0.36,-0.43,-0.46
1337565695,Amazon,159.95,New,Perpetual Textbooks,99.97,Used - Like New,True,99.97,132.9601,-0.37,-0.44,-0.47
1640781692,Amazon,72.21,New,Paper&Plastic,63.82,New,True,63.82,84.8806,-0.12,-0.2,-0.25
1260085511,Book Depository CA,89.69,New,TEXTBookAMAZING,55.5,New,True,55.5,73.815,-0.38,-0.44,-0.47
1496324811,Amazon,113.69,New,book182wire,56.15,New,True,56.15,74.6795,-0.51,-0.56,-0.58
0899579167,Amazon,90.28,New,Amazon,58.81,New,False,58.81,78.21730000000002,-0.35,-0.41,-0.45
0134893751,Virtual_Books,108.3,New,Amazon,75.98,New,False,75.98,101.0534,-0.3,-0.37,-0.4
0870610635,Amazon,209.21,New,Amazon,189.23,New,False,189.23,251.6759,-0.1,-0.19,-0.23
0521876222,Amazon,79.95,New,Amazon,51.15,New,False,51.15,68.0295,-0.36,-0.42,-0.46
1319056636,Amazon,111.92,New,Amazon,75.04,New,False,75.04,99.80320000000002,-0.33,-0.4,-0.43
1412981816,Amazon,82.95,New,apex_media,60.45,Used - Good,True,60.45,80.39850000000001,-0.27,-0.34,-0.38
0803658486,Amazon,117.29,New,Perpetual Textbooks,52.86,Used - Acceptable,True,52.86,70.30380000000001,-0.55,-0.59,-0.62
1305503104,Amazon,199.95,New,FlippingPages,74.61,Used - Acceptable,True,74.61,99.2313,-0.63,-0.66,-0.68
189276525X,UrbanInspirations,253.46,New,@ Home Prep Books and Training,131.19,New,True,131.19,174.4827,-0.48,-0.53,-0.56
1565631625,Book Depository CA,75.24,New,Amazon,50.15,New,False,50.15,66.6995,-0.33,-0.4,-0.43
1890659797,fakeDict,-99.0,something wrong happened,Amazon,56.79,Used - Like New,True,56.79,75.5307,-1.57,-1.52,-1.49
0134015185,Amazon,189.54,New,Perpetual Textbooks,129.99,Used - Very Good,True,129.99,172.88670000000005,-0.31,-0.38,-0.42
